iter	RMSE
298	4.391578482
299	4.388057808
300	4.386037679
301	4.385516603
302	4.383076104
303	4.379233283
304	4.375540828
305	4.372124885
306	4.365074703
307	4.361704367
308	4.3603661
309	4.35817652
310	4.356697275
311	4.35435903
312	4.350191522
313	4.348342581
314	4.347075433
315	4.342066837
316	4.337055158
317	4.335083177
318	4.330290114
319	4.328778778
320	4.327227315
321	4.323016526
322	4.317910397
323	4.313307909
324	4.310222893
325	4.307699615
326	4.305504491
327	4.303940634
328	4.301983491
329	4.298655981
330	4.296033788
331	4.291933191
332	4.291139352
333	4.288293107
334	4.283337237
335	4.279216204
336	4.274807622
337	4.27253313
338	4.268103224
339	4.264110978
340	4.263662995
341	4.256868377
342	4.25235278
343	4.248952727
344	4.24742454
345	4.247214709
346	4.245678631
347	4.241956833
348	4.236666645
349	4.23580069
350	4.231236076
351	4.229850838
352	4.225633014
353	4.222898016
354	4.222297472
355	4.218610591
356	4.216796418
357	4.215476171
358	4.210632336
359	4.208598021
360	4.20703832
361	4.203306093
362	4.201300665
363	4.198023222
364	4.195550888
365	4.192647761
366	4.191519311
367	4.184817397
368	4.18273386
369	4.180468814
370	4.176822323
371	4.170838287
372	4.163821474
373	4.163008478
374	4.156348834
375	4.1558085
376	4.151060584
377	4.145839326
378	4.142181214
379	4.139271508
380	4.137906306
381	4.134165529
382	4.1300607
383	4.123782523
384	4.123361366
385	4.119442614
386	4.117626696
387	4.115217875
388	4.111040787
389	4.106444983
390	4.103341219
391	4.101524831
392	4.100435426
393	4.096719431
394	4.092325789
395	4.090253449
396	4.086112121
397	4.081468779
398	4.074603651
399	4.071688507
400	4.06880028
401	4.065173063
402	4.061532138
403	4.060549042
404	4.05494639
405	4.05143366
406	4.048014205
407	4.045025558
408	4.040505616
409	4.039870975
410	4.037215988
411	4.032495054
412	4.030643168
413	4.02804763
414	4.022573957
415	4.018739939
416	4.018293514
417	4.015358518
418	4.012221128
419	4.009681276
420	4.007044415
421	4.006235454
422	4.002403166
423	3.998231402
424	3.996369683
425	3.993383095
426	3.993004191
427	3.990220921
428	3.987402315
429	3.985273948
430	3.985045481
431	3.984179401
432	3.979796138
433	3.976831484
434	3.972801304
435	3.971489248
436	3.966909437
437	3.965476051
438	3.96506099
439	3.961415733
440	3.959373474
441	3.953306971
442	3.948718605
443	3.945279574
444	3.944962031
445	3.942456711
446	3.937595778
447	3.937134512
448	3.932818683
449	3.928887984
450	3.924302008
451	3.920636616
452	3.919347817
453	3.915263326
454	3.912911721
455	3.910609652
456	3.908159482
457	3.904970165
458	3.901736783
459	3.897460474
460	3.894504695
461	3.893472265
462	3.890455655
463	3.889483953
464	3.886171996
465	3.88422392
466	3.883608593
467	3.882557903
468	3.878543675
469	3.877860006
470	3.877282471
471	3.8725523
472	3.869605927
473	3.867596225
474	3.864720436
475	3.859808425
476	3.859182231
477	3.855592385
478	3.851692619
479	3.851316967
480	3.84832101
481	3.846296653
482	3.844362776
483	3.842622304
484	3.840522342
485	3.836690112
486	3.832071071
487	3.828783933
488	3.828048974
489	3.824931091
490	3.824361177
491	3.821166562
492	3.819517046
493	3.816151029
494	3.814900621
495	3.811038673
496	3.807487859
497	3.80577314
498	3.805099795
499	3.801984657
500	3.80139148
501	3.799671207
502	3.797914127
503	3.796343926
504	3.796254609
505	3.792449196
506	3.792102104
507	3.79128534
508	3.787767993
509	3.784483743
510	3.782833479
511	3.781535378
512	3.780847339
513	3.779023544
514	3.776149783
515	3.772060732
516	3.769236968
517	3.766121788
518	3.76431742
519	3.76287943
520	3.760632259
521	3.758194621
522	3.757085019
523	3.753466634
524	3.750936903
525	3.749716571
526	3.749172141
527	3.747149203
528	3.74624422
529	3.743688804
530	3.741361874
531	3.740567039
532	3.739560394
533	3.736288861
534	3.735279266
535	3.732221771
536	3.730058269
537	3.728434366
538	3.727043471
539	3.72402642
540	3.722295426
541	3.720006262
542	3.719552226
543	3.71743383
544	3.711993943
545	3.708679286
546	3.704365915
547	3.701446237
548	3.700923997
549	3.697426282
550	3.696907132
551	3.692113137
552	3.689473707
553	3.687457133
554	3.68619672
555	3.683648916
556	3.679297697
557	3.678543961
558	3.676102096
559	3.675549138
560	3.675010936
561	3.673155712
562	3.670903823
563	3.668295769
564	3.663757932
565	3.663406541
566	3.662190907
567	3.661767526
568	3.659816558
569	3.656032531
570	3.654190662
571	3.653041178
572	3.652595197
573	3.649825589
574	3.647501065
575	3.647002095
576	3.644633422
577	3.643877488
578	3.64081706
579	3.638531397
580	3.635695842
581	3.630715222
582	3.628152903
583	3.623981833
584	3.622762647
585	3.620817711
586	3.618147654
587	3.616003405
588	3.612211317
589	3.611393387
590	3.610410272
591	3.606840078
592	3.604564526
593	3.602820605
594	3.601029345
595	3.597083872
596	3.594565268
597	3.590542965
598	3.588597297
599	3.588257873
600	3.58530064
601	3.584787834
602	3.58430417
603	3.583193586
604	3.582535428
605	3.581113086
606	3.576821706
607	3.576436822
608	3.574188367
609	3.570817967
610	3.5682852
611	3.565913748
612	3.564632776
613	3.562161787
614	3.561755426
615	3.558464578
616	3.558011064
617	3.555483987
618	3.554175648
619	3.551710588
620	3.548723789
621	3.547040598
622	3.543048137
623	3.54003096
624	3.538542599
625	3.537721135
626	3.533037166
627	3.530180711
628	3.526699855
629	3.525468425
630	3.523844996
631	3.519811263
632	3.517157104
633	3.51664973
634	3.515333851
635	3.512815103
636	3.509397164
637	3.509079554
638	3.507431789
639	3.507004102
640	3.505159239
641	3.504055913
642	3.501647773
643	3.500385725
644	3.497945373
645	3.494167346
646	3.493748022
647	3.493215029
648	3.491681397
649	3.488834469
650	3.486000905
651	3.485736824
652	3.484492508
653	3.483466348
654	3.483099066
655	3.480782919
656	3.48043257
657	3.476741995
658	3.475673969
659	3.475323364
660	3.474889789
661	3.471571176
662	3.469620137
663	3.468769721
664	3.466841104
665	3.465982983
666	3.463418973
667	3.462975575
668	3.460886748
669	3.459536515
670	3.458296843
671	3.456042224
672	3.454559497
673	3.452612075
674	3.450280229
675	3.446307101
676	3.444337977
677	3.440481714
678	3.439355022
679	3.437969655
680	3.435563584
681	3.43168347
682	3.430659666
683	3.429288765
684	3.428948554
685	3.426832325
686	3.42581609
687	3.422196385
688	3.420797181
689	3.419374946
690	3.416365911
691	3.41475008
692	3.413729152
693	3.411388404
694	3.409026229
695	3.407610847
696	3.406219681
697	3.403706917
698	3.403445872
699	3.40137818
700	3.398864382
701	3.3968491
702	3.395978213
703	3.393387144
704	3.389165163
705	3.38829785
706	3.384472482
707	3.381428635
708	3.379671546
709	3.379114703
710	3.376957681
711	3.374998248
712	3.373137105
713	3.371930383
714	3.37042082
715	3.368728198
716	3.368423393
717	3.367880277
718	3.366714996
719	3.365334652
720	3.362121318
721	3.359832682
722	3.357333281
723	3.355235168
724	3.351852349
725	3.348289042
726	3.347102256
727	3.34687709
728	3.346240267
729	3.345350072
730	3.342265045
731	3.341599635
732	3.340075058
733	3.33701164
734	3.334142558
735	3.33274138
736	3.331859864
737	3.331091578
738	3.330180344
739	3.326843604
740	3.324469089
741	3.324129722
742	3.322624978
743	3.318288427
744	3.315354373
745	3.313679204
746	3.313440206
747	3.313296625
748	3.313026235
749	3.312772923
750	3.310659644
751	3.310253879
752	3.309379158
753	3.30719045
754	3.305501653
755	3.304662405
756	3.302526927
757	3.302153119
758	3.301277807
759	3.30114818
760	3.300458378
761	3.298213861
762	3.296432838
763	3.294485968
764	3.293094705
765	3.2916203
766	3.290977532
767	3.290542998
768	3.289024582
769	3.287591517
770	3.287338996
771	3.28501583
772	3.283976634
773	3.281957521
774	3.27925147
775	3.277592625
776	3.274077624
777	3.27340995
778	3.27237621
779	3.27159776
780	3.269493886
781	3.266403982
782	3.26353236
783	3.261146035
784	3.259272228
785	3.256733608
786	3.255280627
787	3.253515156
788	3.251558585
789	3.24963272
790	3.248636311
791	3.247459879
792	3.246661482
793	3.246403296
794	3.245734412
795	3.244662729
796	3.244434458
797	3.243018437
798	3.242891237
799	3.24134513
800	3.239848055
801	3.236455916
802	3.235538554
803	3.234410455
804	3.234193754
805	3.233939681
806	3.230927642
807	3.230440797
808	3.230227231
809	3.229367637
810	3.228961156
811	3.227908606
812	3.225598653
813	3.222197739
814	3.221782718
815	3.219854848
816	3.218671398
817	3.216831386
818	3.215747968
819	3.215507392
820	3.213160134
821	3.212599415
822	3.212400366
823	3.20896804
824	3.20847941
825	3.206305009
826	3.204377006
827	3.202392764
828	3.200630245
829	3.199472579
830	3.198942333
831	3.197877798
832	3.197246883
833	3.197109207
834	3.19513724
835	3.192800372
836	3.190291627
837	3.188983023
838	3.18830545
839	3.186195665
840	3.18417951
841	3.18339839
842	3.181422597
843	3.180784619
844	3.178344111
845	3.177135448
846	3.174424055
847	3.173194614
848	3.171895113
849	3.169214985
850	3.166545416
851	3.165445504
852	3.161565742
853	3.159879843
854	3.158904119
855	3.158618282
856	3.157199987
857	3.155796661
858	3.155300718
859	3.154829625
860	3.152174643
861	3.150914667
862	3.148998537
863	3.145373347
864	3.144135142
865	3.143139916
866	3.141426188
867	3.139486169
868	3.138577093
869	3.137280197
870	3.135584988
871	3.134705054
872	3.133887919
873	3.131622308
874	3.13055974
875	3.12845337
876	3.127292947
877	3.127075661
878	3.124989262
879	3.123812952
880	3.121931103
881	3.12084169
882	3.119798349
883	3.118426755
884	3.117023009
885	3.115026714
886	3.113141275
887	3.109700869
888	3.109152049
889	3.106658022
890	3.106528646
891	3.104147407
892	3.102894225
893	3.099532996
894	3.097815286
895	3.095392958
896	3.093242134
897	3.092046592
898	3.090370433
899	3.089641032
900	3.087760866
901	3.086777747
902	3.085249556
903	3.082547858
904	3.082476586
905	3.08154054
906	3.081277345
907	3.080778857
908	3.079068612
909	3.077153475
910	3.076253419
911	3.075610449
912	3.07409246
913	3.07230562
914	3.071231455
915	3.070204608
916	3.067238766
917	3.065436909
918	3.063021274
919	3.060751244
920	3.060153925
921	3.058850288
922	3.058294302
923	3.058067116
924	3.057403675
925	3.055914248
926	3.054782688
927	3.05362794
928	3.052464706
929	3.051069009
930	3.050177617
931	3.048345936
932	3.048075471
933	3.047518829
934	3.045575866
935	3.04521498
936	3.044629131
937	3.041762918
938	3.039419461
939	3.039304863
940	3.037278707
941	3.036855348
942	3.034629104
943	3.033326389
944	3.033092492
945	3.031625667
946	3.030996002
947	3.02837689
948	3.026861604
949	3.024568568
950	3.022629405
951	3.02114861
952	3.019966783
953	3.018814079
954	3.018641759
955	3.017270143
956	3.017070318
957	3.016658491
958	3.015269728
959	3.015078928
960	3.014713629
961	3.013445463
962	3.011128758
963	3.009675868
964	3.008989537
965	3.008104974
966	3.007432959
967	3.007069542
968	3.005854669
969	3.00406212
970	3.002539529
971	2.999737715
972	2.999595927
973	2.996907126
974	2.994499585
975	2.994069803
976	2.9938737
977	2.992707026
978	2.992527868
979	2.992278687
980	2.991824639
981	2.989654086
982	2.9895162
983	2.986549602
984	2.98562754
985	2.984324287
986	2.983437188
987	2.983342871
988	2.983010677
989	2.98256774
990	2.981916597
991	2.981137807
992	2.979365731
993	2.979285603
994	2.976857083
995	2.974261367
996	2.97349138
997	2.973331945
998	2.971594981
999	2.968909162
